Date,Price
08/02/2024,147.22
07/02/2024,146.68
06/02/2024,145.41
05/02/2024,144.93
02/02/2024,143.54
01/02/2024,142.71
31/01/2024,141.8
30/01/2024,153.05
29/01/2024,154.84
26/01/2024,153.79
25/01/2024,153.64
24/01/2024,150.35
23/01/2024,148.68
22/01/2024,147.71
19/01/2024,147.97
18/01/2024,144.99
17/01/2024,142.89
16/01/2024,144.08
12/01/2024,144.24
11/01/2024,143.67
10/01/2024,143.8
09/01/2024,142.56
08/01/2024,140.53
05/01/2024,137.39
04/01/2024,138.04
03/01/2024,140.36
02/01/2024,139.56
29/12/2023,140.93
28/12/2023,141.28
27/12/2023,141.44
26/12/2023,142.82
22/12/2023,142.72
21/12/2023,141.8
20/12/2023,139.66
19/12/2023,138.1
18/12/2023,137.19
15/12/2023,133.84
14/12/2023,133.2
13/12/2023,133.97
12/12/2023,133.64
11/12/2023,134.7
08/12/2023,136.64
07/12/2023,138.45
06/12/2023,131.43
05/12/2023,132.39
04/12/2023,130.63
01/12/2023,133.32
30/11/2023,133.92
29/11/2023,136.4
28/11/2023,138.62
27/11/2023,138.05
24/11/2023,138.22
22/11/2023,140.02
21/11/2023,138.62
20/11/2023,137.92
17/11/2023,136.94
16/11/2023,138.7
15/11/2023,136.38
14/11/2023,135.43
13/11/2023,133.64
10/11/2023,134.06
09/11/2023,131.69
08/11/2023,133.26
07/11/2023,132.4
06/11/2023,131.45
03/11/2023,130.37
02/11/2023,128.58
01/11/2023,127.57
31/10/2023,125.3
30/10/2023,125.75
27/10/2023,123.4
26/10/2023,123.44
25/10/2023,126.67
24/10/2023,140.12
23/10/2023,137.9
20/10/2023,136.74
19/10/2023,138.98
18/10/2023,139.28
17/10/2023,140.99
16/10/2023,140.49
13/10/2023,138.58
12/10/2023,140.29
11/10/2023,141.7
10/10/2023,139.2
09/10/2023,139.5
06/10/2023,138.73
05/10/2023,135.99
04/10/2023,136.27
03/10/2023,133.3
02/10/2023,135.17
29/09/2023,131.85
28/09/2023,133.13
27/09/2023,131.46
26/09/2023,129.45
25/09/2023,132.17
22/09/2023,131.25
21/09/2023,131.36
20/09/2023,134.59
19/09/2023,138.83
18/09/2023,138.96
15/09/2023,138.3
14/09/2023,138.99
13/09/2023,137.5
12/09/2023,136.07
11/09/2023,137.74
08/09/2023,137.2
07/09/2023,136.2
06/09/2023,135.37
05/09/2023,136.71
01/09/2023,136.8
